layers,units,optimizer,lr,dropout1,dropout2,batch_size,epochs_max,val_mae,val_rmse,val_mape,val_smape,epochs_ran
2,64,rmsprop,0.001,0.05,0.05,64,100,163047.4,188320.8,0.105752,0.050457,42
2,64,adam,0.001,0.05,0.02,64,100,152946,191726.4,0.10152,0.047718,18
2,64,rmsprop,0.001,0.05,0.02,64,100,193326.4,220754.3,0.130505,0.060848,42
2,128,rmsprop,0.001,0.1,0.02,64,100,191761.5,221624.8,0.129971,0.0598,29
2,64,rmsprop,0.0003,0.1,0.05,64,100,194775.2,235045.4,0.127994,0.060448,28
2,64,rmsprop,0.001,0.1,0.05,64,100,200104.4,236120.3,0.134153,0.061989,48
2,128,adam,0.001,0.05,0.02,64,100,218255.5,245257.4,0.149028,0.068237,33
2,128,adam,0.0001,0.05,0.05,64,100,203097,247355,0.139465,0.06454,86
2,128,adam,0.001,0.1,0.05,64,100,193488.8,247591.4,0.133279,0.060473,26
2,128,rmsprop,0.001,0.05,0.02,64,100,217678.9,251867.4,0.150678,0.068494,49
2,128,adam,0.001,0.05,0.05,64,100,225220.1,259506.1,0.155084,0.070319,44
2,64,rmsprop,0.0003,0.05,0.05,64,100,207557.1,263355.7,0.137927,0.063521,28
2,128,rmsprop,0.001,0.1,0.05,64,100,231765.1,269010.1,0.16138,0.072689,50
2,128,rmsprop,0.0003,0.05,0.02,64,100,221902.2,272414.7,0.15611,0.069632,22
2,64,adam,0.001,0.05,0.05,64,100,209758.9,278840.3,0.131005,0.069275,19
2,64,adam,0.001,0.1,0.05,64,100,245682.3,287555.4,0.167186,0.07631,40
2,128,adam,0.0001,0.1,0.05,64,100,237872.7,290089.7,0.167812,0.075108,44
2,128,adam,0.0003,0.05,0.05,64,100,243177.6,305297.8,0.173364,0.076373,44
2,128,rmsprop,0.001,0.05,0.05,64,100,267921.8,308176.5,0.185381,0.082104,45
2,128,rmsprop,0.0003,0.1,0.02,64,100,254155.8,313335.8,0.180525,0.079174,28
2,128,adam,0.001,0.1,0.02,64,100,244087.5,315014.9,0.17699,0.07653,27
2,128,adam,0.0003,0.05,0.02,64,100,267003.3,343582.8,0.192609,0.08264,34
2,128,adam,0.0001,0.05,0.02,64,100,269482.5,347970.4,0.193174,0.083527,83
2,64,rmsprop,0.0003,0.1,0.02,64,100,301647.3,367900.1,0.212039,0.091777,25
2,128,adam,0.0001,0.1,0.02,64,100,289548.5,372385.7,0.210382,0.088942,32
2,64,adam,0.001,0.1,0.02,64,100,311048.3,379004.7,0.218408,0.09424,43
2,128,rmsprop,0.0001,0.05,0.02,64,100,293356.7,386523.8,0.2083,0.088759,100
2,64,rmsprop,0.0003,0.05,0.02,64,100,304811.3,387941.8,0.221466,0.093319,25
2,128,rmsprop,0.0001,0.1,0.02,64,100,322272.3,418319.9,0.234519,0.096902,33
2,128,rmsprop,0.0001,0.1,0.05,64,100,330752.2,425853.3,0.241716,0.099219,31
2,128,rmsprop,0.0001,0.05,0.05,64,100,339302.7,435353.4,0.247326,0.101644,34
2,128,rmsprop,0.0003,0.05,0.05,64,100,336845.6,442775.3,0.245457,0.099673,19
2,128,adam,0.0003,0.1,0.02,64,100,338425.2,454555.4,0.248828,0.100872,31
2,128,adam,0.0003,0.1,0.05,64,100,339218.7,456891.8,0.250249,0.101188,24
2,64,adam,0.0003,0.05,0.02,64,100,351992.2,494179.2,0.199847,0.091013,16
2,128,rmsprop,0.0003,0.1,0.05,64,100,372476.3,516488.8,0.277626,0.1083,19
2,64,adam,0.0003,0.05,0.05,64,100,448930.3,639024.5,0.257684,0.109898,16
2,64,adam,0.0003,0.1,0.02,64,100,441867.2,642907.1,0.249001,0.105849,16
2,64,adam,0.0003,0.1,0.05,64,100,453981.5,672413.4,0.254697,0.107225,16
2,64,adam,0.0001,0.05,0.05,64,100,593977.4,770928.8,0.36136,0.143941,19
2,64,adam,0.0001,0.05,0.02,64,100,639753.1,813734.1,0.397368,0.155223,19
2,64,adam,0.0001,0.1,0.05,64,100,607164.5,825063,0.360032,0.141651,19
2,64,rmsprop,0.0001,0.05,0.05,64,100,693505.9,948302.6,0.406761,0.154134,18
2,64,rmsprop,0.0001,0.05,0.02,64,100,706361.5,961392.4,0.415011,0.15655,18
2,64,rmsprop,0.0001,0.1,0.05,64,100,732383.9,1036121,0.422642,0.156658,18
2,64,rmsprop,0.0001,0.1,0.02,64,100,755500.6,1055946,0.437032,0.161315,18
2,64,adam,0.0001,0.1,0.02,64,100,867517.2,1189070,0.513758,0.181767,18
2,64,rmsprop,0.001,0.1,0.02,64,100,3046053,3635653,1.959475,0.428436,19
